project_id,name,developer,district,city,handover,price_from,price_per_m2,status,url,listing_urls
prj5143,An Hạ Riverside,Công ty CP Đầu tư và Xây dựng Tân Đô,Huyện Bình Chánh,TPHCM,2012,Từ 378 triệu,3 - 6 triệu/m2,Đang bán,https://mogi.vn/an-ha-riverside-prj5143,https://mogi.vn/ho-chi-minh/huyen-binh-chanh/mua-nha-dat/an-ha-riverside-prj5143
prj5145,Căn hộ Hoàng Quốc Việt,CÔNG TY CỔ PHẦN VẠN PHÁT HƯNG,Quận 7,TPHCM,2017,Từ,21 - 23 triệu/m2,Đang bán,https://mogi.vn/can-ho-hoang-quoc-viet-prj5145,https://mogi.vn/ho-chi-minh/quan-7/mua-nha-dat/can-ho-hoang-quoc-viet-prj5145
prj5146,Vinhome Golden River,Tập Đoàn Vingroup - Công ty CP,Quận 1,TPHCM,2018,Từ 1 tỷ 150 triệu,23 - 38 triệu/m2,Cho thuê,https://mogi.vn/vinhome-golden-river-prj5146,https://mogi.vn/ho-chi-minh/quan-1/thue-nha-dat/vinhome-golden-river-prj5146
prj5147,D1 Mension,Tập đoàn CapitaLand,Quận 1,TPHCM,2018,,,Đang bán,https://mogi.vn/d1-mension-prj5147,https://mogi.vn/ho-chi-minh/quan-1/mua-nha-dat/d1-mension-prj5147
prj5148,Horizon Tower,Tổng Công ty Vật liệu xây dựng số 1 - TNHH Một thành viên,Quận 1,TPHCM,2011,Từ 4 tỷ 736 triệu,59 - 71 triệu/m2,Cho thuê,https://mogi.vn/horizon-tower-prj5148,https://mogi.vn/ho-chi-minh/quan-1/thue-nha-dat/horizon-tower-prj5148
prj5154,Cống Quỳnh Plaza,TTC Land,Quận 1,TPHCM,,,,,https://mogi.vn/cong-quynh-plaza-prj5154,
prj5155,Parkland Apartments,Công ty CB Richard Ellis Việt Nam,Quận 2 (TP. Thủ Đức),TPHCM,,,,,https://mogi.vn/parkland-apartments-prj5155,
prj5157,Grand Central,Công ty CP Thương mại & Đầu Tư Hồng Hà,Quận 3,TPHCM,2020,,,Đang bán,https://mogi.vn/grand-central-prj5157,https://mogi.vn/ho-chi-minh/quan-3/mua-nha-dat/grand-central-prj5157
prj5158,C.T Plaza Minh Châu,C.T Group,Quận 3,TPHCM,,Từ 2 tỷ 226 triệu,53 - 62 triệu/m2,,https://mogi.vn/c-t-plaza-minh-chau-prj5158,
prj5162,Cao ốc Sông Đà Tower,công ty CP đầu tư - Phát triển Sông Đà,Quận 3,TPHCM,2009,,,Đang bán; Cho thuê,https://mogi.vn/cao-oc-song-da-tower-prj5162,https://mogi.vn/ho-chi-minh/quan-3/mua-nha-dat/cao-oc-song-da-tower-prj5162; https://mogi.vn/ho-chi-minh/quan-3/thue-nha-dat/cao-oc-song-da-tower-prj5162
prj5164,Tản Đà Court,CTCP Đầu Tư & Dịch Vụ TP.HCM (INVESCO),Quận 5,TPHCM,2008,Từ 2 tỷ 88 triệu,29 - 39 triệu/m2,Đang bán; Cho thuê,https://mogi.vn/tan-da-court-prj5164,https://mogi.vn/ho-chi-minh/quan-5/mua-nha-dat/tan-da-court-prj5164; https://mogi.vn/ho-chi-minh/quan-5/thue-nha-dat/tan-da-court-prj5164
prj5166,Chung cư Tân Thịnh Lợi,Công Ty Cổ Phần Bất Động Sản Điện Lực Sài Gòn Vina,Quận 6,TPHCM,2009,Từ 812 triệu,14 - 19 triệu/m2,Đang bán,https://mogi.vn/chung-cu-tan-thinh-loi-prj5166,https://mogi.vn/ho-chi-minh/quan-6/mua-nha-dat/chung-cu-tan-thinh-loi-prj5166
prj5167,Him Lam Chợ Lớn,CÔNG TY CỔ PHẦN HIM LAM,Quận 6,TPHCM,2018,Từ 2 tỷ 425 triệu,24 triệu/m2,Đang bán,https://mogi.vn/him-lam-cho-lon-prj5167,https://mogi.vn/ho-chi-minh/quan-6/mua-nha-dat/him-lam-cho-lon-prj5167
prj5169,OPC EximLand Building,Công Ty CP BĐS Exim,Quận 6,TPHCM,2013,,,,https://mogi.vn/opc-eximland-building-prj5169,
prj5170,Khu căn hộ Bình Phú,Công Ty Cổ Phần An Phú,Quận 6,TPHCM,2016,,,Đang bán,https://mogi.vn/khu-can-ho-binh-phu-prj5170,https://mogi.vn/ho-chi-minh/quan-6/mua-nha-dat/khu-can-ho-binh-phu-prj5170
prj5171,The Western Capital,Công ty TNHH Quản lý BĐS Hoàng Phúc,Quận 6,TPHCM,2021,Từ 1 tỷ 470 triệu,30 - 36 triệu/m2,Đang bán,https://mogi.vn/the-western-capital-prj5171,https://mogi.vn/ho-chi-minh/quan-6/mua-nha-dat/the-western-capital-prj5171
